District,Location,latitude,longitude
belize,Belize City,17.506386,-88.214346
belize,Ambergris Caye,18.032687,-87.927572
belize,Caye Caulker,17.762109,-88.028563
belize,San Pedro,17.909466,-87.973137
belize,Turneffe Atoll Marine Reserve,17.380093,-87.86442
belize,Belize and Sibun rivers,0,0
belize,Hattieville,17.450127,-88.396646
belize,Crooked Tree,17.778129,-88.542873
belize,St. Paul's Bank,17.509989,-88.588517
belize,Willows Bank,17.530616,-88.572987
belize,Isabella Bank,17.585789,-88.536397
belize,Lucky Strike,17.778661,-88.319374
cayo,St. Margaret,17.092138,-88.611591
cayo,Selena,17.291238,-88.98842
cayo,Yalbac,17.418033,-88.949872
cayo,La Gracia,17.353764,-88.93338
cayo,Buena Vista,17.251495,-88.941373
cayo,Los Tambos,17.323252,-89.011875
cayo,Valley of Peace,17.328574,-88.841535
cayo,Mopan River Macal River (starting in Benque Veijo and ending at Belize City),0,0
cayo,Spanish Lookout,17.279456,-89.017946
corozal,Copper Bank,18.321444,-88.355451
corozal,Chunox,18.296168,-88.356736
corozal,Consejo,18.456594,-88.299915
corozal,Corozal town,18.398805,-88.392216
corozal,Sarteneja,18.354351,-88.144418
corozal,Arenal,17.022744,-89.150136
corozal,San Jose Succotz,17.08434,-89.128068
corozal,Benque Viejo del Carmen,17.071244,-89.135359
corozal,Chunox,18.296168,-88.356736
corozal,Copperbank,18.321953,-88.355997
corozal,Consejo,18.456594,-88.299915
corozal,San Felipe,17.873245,-88.773675
corozal,Blue Creek,17.883425,-88.866682
corozal,Sylvester,17.586956,-89.092549
orangeWalk,San Felipe,17.873245,-88.773675
stannCreek,Seine Bight,16.578337,-88.366195
stannCreek,Riversdale,16.689359,-88.311284
stannCreek,Hopkins,16.853551,-88.282541
stannCreek,Dangriga,16.960212,-88.220895
stannCreek,Placencia,16.517794,-88.368661
stannCreek,Sittee River,16.819297,-88.269295
stannCreek,Hopkins,16.853551,-88.282541
stannCreek,Riversdale,16.689359,-88.311284
stannCreek,Seine Bight,16.578337,-88.366195
stannCreek,Independence,16.534261,-88.422621
stannCreek,Pomona,16.99474,-88.369775
stannCreek,Steadfast,16.999314,-88.424816
stannCreek,Alta Visa,16.987603,-88.402332
stannCreek,Hummingbird,17.025,-88.51
toledo,Trio,16.516861,-88.637616
toledo,Bella Vista,16.508597,-88.531422
toledo,Bladen,16.481965,-88.601115
toledo,Trio,16.516861,-88.637616
toledo,San Jose,16.266151,-89.094566
toledo,Aguacate,16.161584,-89.091924
toledo,Big Falls,16.261866,-88.885644
toledo,Golden Stream,16.361046,-88.800811
toledo,Indian Creek,16.312083,-88.835146
toledo,Medina Bank,16.439348,-88.744294
toledo,Silver Creek,16.279505,-88.891089
toledo,San Miguel,16.293353,-88.933375
toledo,Monkey River,16.365962,-88.486489
toledo,Cattle Landing,16.11947,-88.79523
toledo,San Pedro Columbia,16.2694,-88.954772
toledo,Monkey River,16.365962,-88.486489
toledo,Punta Negra,16.272998,-88.544439
toledo,Sunday Wood,16.03969,-89.029349
toledo,Santa Teresa,16.135484,-89.054222
toledo,Conejo,16.047963,-89.001228
toledo,Crique Sarco,15.984264,-89.105483
toledo,Graham Creek,15.931151,-89.127174
belize,Mahogany Heights,17.33864,-88.567027
belize,La Democracia,17.342499,-88.554955
belize,Gracie Rock,17.374548,-88.449039
belize,Bermudian Landing,17.55603,-88.533684
belize,Scotland Halfmoon,17.570687,-88.50687
belize,Double Head Cabbage,17.547134,-88.554525
belize,Rancho Dolores,17.536013,-88.627052
cayo,Cotton Tree,17.275481,-88.71314
cayo,Franks Eddy,17.254258,-88.634176
belize,Flowers Bank,17.61184546,-88.49504471
